aa;;aa;GB Jungtinė Karalystė;LV Latvija;PL Lenkija;SE Švedija;DE Vokietija;US Jungtinės Valstijos;GB Jungtinė Karalystė;LV Latvija;PL Lenkija;SE Švedija;DE Vokietija;US Jungtinės Valstijos
94;1;Baldai;213012,6;21504,9;91544,5;340556,2;241249;108841,4;23,4%;2,7%;8,0%;29,5%;14,5%;22,3%
39;1;Plastikai ir jų dirbiniai;112170,8;50862,1;254440,8;94556,7;138742,8;7730,1;12,3%;6,3%;22,4%;8,2%;8,3%;1,6%
31;1;Trąšos;79963,9;20121,7;65356,5;19243,9;71139,2;10345,7;8,8%;2,5%;5,7%;1,7%;4,3%;2,1%
44;1;Mediena ir medienos dirbiniai;58227,2;114630,3;46384,2;42100,5;110631,5;11566,7;6,4%;14,2%;4,1%;3,6%;6,6%;2,4%
23;1;Maisto pramonės liekanos ir atliekos;45546,3;20349,9;18558,1;4963,8;28269,3;1,8;5,0%;2,5%;1,6%;0,4%;1,7%;0,0%
85;1;Elektros mašinos ir įranga bei jų dalys;31551,2;9721,2;21686;152123,5;131523,4;22222,2;3,5%;1,2%;1,9%;13,2%;7,9%;4,5%
19;1;Gaminiai iš javų, miltų, krakmolo arba pieno;30457,5;22143;8185,4;12177,4;5454,3;2395,5;3,3%;2,7%;0,7%;1,1%;0,3%;0,5%
16;1;Gaminiai iš mėsos, žuvies;29318,9;18485,8;7959;4451,5;26780,2;1919,1;3,2%;2,3%;0,7%;0,4%;1,6%;0,4%
62;1;Drabužiai;27499,3;2824,9;1397,8;24151,5;48847,4;5267,7;3,0%;0,3%;0,1%;2,1%;2,9%;1,1%
51;1;"Vilna, švelniavilnių arba šiurkščiavilnių gyvūnų plaukai; ašutų verpalai ir audiniai";24253,9;1301,5;2337,9;1885,2;1915,5;2352;2,7%;0,2%;0,2%;0,2%;0,1%;0,5%
03;1;Žuvys ir vėžiagyviai, moliuskai ir kiti vandens bestuburiai;23959,3;5968,2;9358,1;7303,2;158509,5;914,6;2,6%;0,7%;0,8%;0,6%;9,5%;0,2%
90;1;"Optikos, fotografijos, kinematografijos, matavimo, tikrinimo, tikslieji, medicinos arba chirurgijos prietaisai ir aparatai;jų dalys ir reikmenys";23720,7;2319,2;12886,1;9220;44515,3;59507,4;2,6%;0,3%;1,1%;0,8%;2,7%;12,2%
84;1;"Branduoliniai reaktoriai, katilai (boileriai), mašinos ir mechaniniai įrenginiai; jų dalys";20037,6;26140,2;23805,9;42446,5;46849,3;14072,2;2,2%;3,2%;2,1%;3,7%;2,8%;2,9%
73;1;Dirbiniai iš geležies arba iš plieno (iš juodųjų metalų);18253,1;18884,1;12450,2;91872,9;90978;15907,2;2,0%;2,3%;1,1%;8,0%;5,5%;3,3%
76;1;Aliuminis ir aliuminio dirbiniai;17696,3;3929,2;13846,6;15601,4;9059,2;456,7;1,9%;0,5%;1,2%;1,4%;0,5%;0,1%
24;1;Tabakas ir perdirbti tabako pakaitalai;14096,9;22892,3;19895,6;44053,5;19634,1;565,3;1,5%;2,8%;1,7%;3,8%;1,2%;0,1%
18;1;Kakava ir gaminiai iš kakavos;12854,7;9736,1;16041;12569,2;4564,5;1832;1,4%;1,2%;1,4%;1,1%;0,3%;0,4%
61;1;Megzti arba nerti drabužiai ir jų priedai;12569,4;1612,9;1068,8;19497,5;35468;1739,2;1,4%;0,2%;0,1%;1,7%;2,1%;0,4%
04;1;"Pienas ir pieno produktai; paukščių kiaušiniai; natūralus medus; gyvūninės kilmės maisto produktai, nenurodyti kitoje vietoje";8780,9;48647,6;146908,4;2358,7;45334,8;18421,3;1,0%;6,0%;12,9%;0,2%;2,7%;3,8%
35;1;"Albumininės medžiagos; modifikuoti krakmolai; klijai; fermentai (enzimai)";8294,5;291,7;5518,7;2196,6;13400;15044,4;0,9%;0,0%;0,5%;0,2%;0,8%;3,1%
10;1;Javai;8035,9;68006,7;12259,3;1658,2;25897,9;;0,9%;8,4%;1,1%;0,1%;1,6%;0,0%
38;1;Įvairūs chemijos produktai;5690,9;10844,6;968,7;1593,3;9625;112626,7;0,6%;1,3%;0,1%;0,1%;0,6%;23,0%
63;1;"Kiti gatavi tekstilės dirbiniai; rinkiniai; dėvėti drabužiai ir dėvėti tekstilės dirbiniai; skudurai";5494,9;2182,1;2261,2;18098,7;4021,6;1705,4;0,6%;0,3%;0,2%;1,6%;0,2%;0,3%
11;1;"Malybos produkcija; salyklas; krakmolas; inulinas;  kviečių glitimas";4701,7;9240,8;35246,3;2036;5878,4;21536,2;0,5%;1,1%;3,1%;0,2%;0,4%;4,4%
48;1;"Popierius ir kartonas; popieriaus masės, popieriaus arba kartono dirbiniai";4672,1;28661,7;33058,4;14465,4;27816,6;6091,7;0,5%;3,5%;2,9%;1,3%;1,7%;1,2%
02;1;Mėsa ir valgomieji mėsos subproduktai;4519,9;26374,4;8497,4;20034,9;2421,4;;0,5%;3,3%;0,7%;1,7%;0,1%;0,0%
12;1;"Aliejinių kultūrų sėklos ir vaisiai; įvairūs grūdai, sėklos ir vaisiai; augalai, naudojami pramonėje ir medicinoje; šiaudai ir pašarai";4309,7;28829,5;2073,2;4589,9;30663,8;380,8;0,5%;3,6%;0,2%;0,4%;1,8%;0,1%
49;1;"Spausdintos knygos, laikraščiai, reprodukcijos ir kiti poligrafijos pramonės dirbiniai; rankraščiai, mašinraščiai ir brėžiniai";3171,3;2861,2;782,9;14567;8172;824,4;0,3%;0,4%;0,1%;1,3%;0,5%;0,2%
87;1;"Antžeminio transporto priemonės, išskyrus geležinkelio ir tramvajaus riedmenis; jų dalys ir reikmenys";2354,1;9355,1;11471;21325,7;78693,7;1268,7;0,3%;1,2%;1,0%;1,8%;4,7%;0,3%
29;1;Organiniai chemijos produktai;1960,8;9655,7;25803,9;349,8;5665,4;13074,7;0,2%;1,2%;2,3%;0,0%;0,3%;2,7%
56;1;"Vata, veltinys ir neaustinės medžiagos; specialieji verpalai; virvės, virvelės, lynai ir trosai bei jų dirbiniai";1841,1;3168,9;2991,2;1237;7584,5;2326,9;0,2%;0,4%;0,3%;0,1%;0,5%;0,5%
71;1;"Gamtiniai arba dirbtiniu būdu išauginti perlai, brangakmeniai arba pusbrangiai akmenys, taurieji metalai, metalai, plakiruoti tauriuoju metalu, bei jų dirbiniai; dirbtinė bižuterija; monetos";1786,8;1091;1660,7;296,2;24355,9;1007,1;0,2%;0,1%;0,1%;0,0%;1,5%;0,2%
30;1;Farmacijos produktai;1475,7;2988;1308,2;64,9;995,7;9700,2;0,2%;0,4%;0,1%;0,0%;0,1%;2,0%
68;1;Dirbiniai iš akmens, gipso, cemento, asbesto, žėručio arba panašių medžiagų;1105,4;20828;14321,2;34255;13144,6;318,5;0,1%;2,6%;1,3%;3,0%;0,8%;0,1%
95;1;"Žaislai, žaidimai ir sporto reikmenys; jų dalys ir reikmenys";852,1;297,4;251,7;3961,2;2102;4232,7;0,1%;0,0%;0,0%;0,3%;0,1%;0,9%
72;1;Geležis ir plienas (juodieji metalai);87,1;17304,1;9235,8;21213,7;4227,2;36;0,0%;2,1%;0,8%;1,8%;0,3%;0,0%
28;1;"Neorganiniai chemikalai; organiniai arba neorganiniai tauriųjų metalų, retųjų žemių metalų, radioaktyviųjų elementų arba izotopų junginiai";18,2;2495,8;18627,3;1970,4;22913,8;502,1;0,0%;0,3%;1,6%;0,2%;1,4%;0,1%
70;;Stiklas ir stiklo dirbiniai;7609,9;14933,2;17436,7;7002,8;4615;1666,2;0,8%;1,8%;1,5%;0,6%;0,3%;0,3%
42;;"Odos dirbiniai; pakinktai ir balnai; kelionės reikmenys, rankinės ir panašūs daiktai; dirbiniai iš gyvūnų žarnų (išskyrus šilkaverpių žarnas)";6795,4;175,5;461,1;330,9;518,4;15,1;0,7%;0,0%;0,0%;0,0%;0,0%;0,0%
21;;Įvairūs maisto produktai;4847,5;9082,1;15979;2345,5;14891,1;1774,6;0,5%;1,1%;1,4%;0,2%;0,9%;0,4%
34;;Muilas, organinės paviršinio aktyvumo medžiagos, skalbikliai, tepimo priemonės, dirbtiniai vaškai, paruošti vaškai, blizginimo arba šveitimo priemonės, žvakės ir panašūs dirbiniai, modeliavimo pastos, stomatologiniai vaškai,taip pat stomatologijos preparatai, daugiausia iš gipso;3735,4;2896,9;10148,4;1107,8;9063,9;1582;0,4%;0,4%;0,9%;0,1%;0,5%;0,3%
83;;Įvairūs  dirbiniai iš netauriųjų metalų;3561,3;3978,3;5038,3;2687,9;9913,7;448;0,4%;0,5%;0,4%;0,2%;0,6%;0,1%
07;;Valgomosios daržovės ir kai kurie šakniavaisiai  bei gumbavaisiai;2892,7;15637,5;9626,9;10762,3;13762,4;10,1;0,3%;1,9%;0,8%;0,9%;0,8%;0,0%
64;;"Avalynė, getrai ir panašūs dirbiniai; tokių dirbinių  dalys";2776,6;1278,7;442,4;4,5;3200;10,8;0,3%;0,2%;0,0%;0,0%;0,2%;0,0%
20;;Produktai iš daržovių, vaisių, riešutų arba kitų augalų dalių;2562;4648,4;3180,1;418,5;3893,3;833,7;0,3%;0,6%;0,3%;0,0%;0,2%;0,2%
22;;Nealkoholiniai ir alkoholiniai gėrimai bei actas;2398,6;33611,2;11850,7;1137,9;2169,6;917;0,3%;4,2%;1,0%;0,1%;0,1%;0,2%
54;;Cheminiai elementarieji siūlai (gijos);1758,4;290,9;2751,1;316,9;4018,7;2,7;0,2%;0,0%;0,2%;0,0%;0,2%;0,0%
05;;Gyvūninės kilmės produktai, nenurodyti kitoje vietoje;1385,1;2059,6;1375,2;15,6;143,7;;0,2%;0,3%;0,1%;0,0%;0,0%;0,0%
53;;"Kiti augaliniai tekstilės pluoštai; popieriaus verpalai  ir popieriaus verpalų audiniai";1196,9;951,2;2410,6;328;567;525,6;0,1%;0,1%;0,2%;0,0%;0,0%;0,1%
33;;"Eteriniai aliejai ir kvapieji dervų ekstraktai (rezinoidai); parfumerijos, kosmetikos ir tualetiniai preparatai";1135;1397,1;1082,9;291,7;205,7;37,4;0,1%;0,2%;0,1%;0,0%;0,0%;0,0%
89;;Laivai, valtys ir plaukiojantieji įrenginiai;848,1;;201,4;2798,4;3916,9;;0,1%;0,0%;0,0%;0,2%;0,2%;0,0%
96;;Įvairūs pramonės dirbiniai;645;806,7;1058,6;762,3;12721,6;881,9;0,1%;0,1%;0,1%;0,1%;0,8%;0,2%
91;;Laikrodžiai ir jų dalys;641,7;28,8;401,8;27,4;446,6;571,3;0,1%;0,0%;0,0%;0,0%;0,0%;0,1%
93;;"Ginklai ir šaudmenys; jų dalys ir reikmenys";622,3;484,4;749,3;114,8;352,4;281;0,1%;0,1%;0,1%;0,0%;0,0%;0,1%
40;;Kaučiukas ir jo dirbiniai;389,8;584,2;644,3;8898,3;770,2;998,2;0,0%;0,1%;0,1%;0,8%;0,0%;0,2%
32;;"Rauginimo arba dažymo ekstraktai; taninai ir jų dariniai; dažikliai, pigmentai ir kitos dažiosios medžiagos; dažai ir lakai; glaistai ir kitos mastikos; rašalai";292,6;2114,1;181,3;29,4;143,1;316,8;0,0%;0,3%;0,0%;0,0%;0,0%;0,1%
17;;Cukrus ir konditerijos gaminiai iš cukraus;204;19988,3;16838,2;3024,9;4830,5;29,7;0,0%;2,5%;1,5%;0,3%;0,3%;0,0%
55;;Cheminiai  štapelio pluoštai;136,8;224,1;1158,8;19;119;0;0,0%;0,0%;0,1%;0,0%;0,0%;0,0%
88;;Orlaiviai, erdvėlaiviai ir jų dalys;118,5;33,6;36,7;0,9;491,7;258;0,0%;0,0%;0,0%;0,0%;0,0%;0,1%
59;;"Įmirkyti, aptraukti, padengti arba laminuoti tekstilės audiniai;  tekstilės dirbiniai naudojami pramonėje";106,5;669,4;274,9;32,6;1174,8;1,7;0,0%;0,1%;0,0%;0,0%;0,1%;0,0%
69;;Keramikos dirbiniai;105,3;165,3;56,6;154,6;1020,9;91,2;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%
65;;Galvos apdangalai ir jų dalys;101,6;61,2;23,4;265,1;188,7;25,7;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
08;;"Valgomieji vaisiai ir riešutai; citrusų vaisių arba melionų žievelės ir luobos";71,3;1474,2;2248,2;489;4669,8;63;0,0%;0,2%;0,2%;0,0%;0,3%;0,0%
58;;"Specialieji  audiniai; siūtiniai (taftingo) tekstilės audiniai; nėriniai; gobelenai; apsiuvai; siuvinėjimai";69;321,4;177,5;116;69,2;7,7;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
43;;"Kailiai ir dirbtiniai kailiai; jų dirbiniai";64;137,3;6450,5;;275,7;4;0,0%;0,0%;0,6%;0,0%;0,0%;0,0%
15;;"Gyvūniniai arba augaliniai riebalai  ir aliejus bei jų  skilimo produktai; paruošti maistiniai riebalai; gyvūninis arba augalinis vaškas";59,5;7017,8;1002,1;2607,6;1900,1;163,9;0,0%;0,9%;0,1%;0,2%;0,1%;0,0%
74;;Varis ir vario dirbiniai;59,4;2865,2;10497,1;387,1;8129,5;2,8;0,0%;0,4%;0,9%;0,0%;0,5%;0,0%
79;;Cinkas ir cinko dirbiniai;37,3;286;482,3;0,9;5,5;;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
82;;"Įrankiai, padargai, peiliai, šaukštai ir šakutės iš netauriųjų metalų; jų dalys iš netauriųjų metalų";36,7;392,8;120,7;109,7;792,6;225,6;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
09;;Kava, arbata, matė ir prieskoniai;32,4;287,2;536,9;0,1;971,2;6,9;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%
81;;"Kiti netaurieji metalai; kermetai; dirbiniai iš šių medžiagų";32,4;9,8;;;1429,8;;0,0%;0,0%;0,0%;0,0%;0,1%;0,0%
36;;"Sprogmenys; pirotechnikos produktai; degtukai; piroforiniai lydiniai; tam tikros degiosios medžiagos";31,6;171,4;52,1;0;18,7;2;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
52;;Medvilnė;29,2;456,3;4,9;61;66,6;30,2;0,0%;0,1%;0,0%;0,0%;0,0%;0,0%
60;;Megztinės arba nertinės medžiagos;21,9;963,6;2244,8;545,3;325,4;7,9;0,0%;0,1%;0,2%;0,0%;0,0%;0,0%
25;;"Druska; siera; žemės ir akmenys; tinkavimo medžiagos, kalkės ir cementas";7,3;4363,8;16525,5;2781,7;481,5;90,9;0,0%;0,5%;1,5%;0,2%;0,0%;0,0%
67;;"Paruoštos naudoti plunksnos ir pūkai bei dirbiniai iš plunksnų arba pūkų; dirbtinės gėlės; dirbiniai iš žmonių plaukų";3,9;;;10,3;0,7;114;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
57;;Kilimai ir kitos tekstilinės grindų dangos;2,5;3,5;40,4;56,9;21,6;0,3;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
66;;Skėčiai, skėčiai nuo saulės, lazdos, lazdos-sėdynės, vytiniai, botagai ir jų dalys;0,4;1,8;1,1;0,1;;42,6;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
41;;Žaliaminės odos (išskyrus kailius) ir išdirbta oda;0,2;95,9;3479;23,4;26,4;;0,0%;0,0%;0,3%;0,0%;0,0%;0,0%
92;;"Muzikos instrumentai; šių dirbinių dalys ir reikmenys";0,2;0,7;;;;9,5;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
01;;Gyvi gyvūnai;;6476,3;27619,6;;205,2;123,7;0,0%;0,8%;2,4%;0,0%;0,0%;0,0%
47;;"Medienos arba kitų pluoštinių celiuliozinių medžiagų  masė; popieriaus arba kartono atliekos ir liekanos";;94,9;1906,5;;5164,7;;0,0%;0,0%;0,2%;0,0%;0,3%;0,0%
37;;Fotografijos ir kinematografijos prekės;;12,3;422,7;;4,6;1,4;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
78;;Švinas ir švino dirbiniai;;51,5;160,4;;131,9;0,2;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
46;;"Dirbiniai iš šiaudų, esparto arba iš  kitų pynimo medžiagų; pintinės ir kiti dirbiniai iš vytelių";;29,5;30,5;11,2;448,6;0,2;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
75;;Nikelis ir nikelio dirbiniai;;20;12;;7,1;;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
80;;Alavas ir alavo dirbiniai;;;0,7;;19,6;;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
14;;"Augalinės pynimo medžiagos; augaliniai produktai, nenurodyti kitoje vietoje";;1,4;0,1;2,7;;;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
06;;"Augantys medžiai ir kiti augalai; svogūnėliai, šaknys ir kitos panašios augalų dalys; skintos gėlės ir dekoratyviniai žalumynai";0;254,6;;406,8;9,1;0,5;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
86;;"Geležinkelio arba tramvajaus lokomotyvai, riedmenys ir jų dalys; geležinkelių arba tramvajų bėgių įrenginiai ir įtaisai bei jų dalys; visų rūšių mechaninė (įskaitant elektromechaninę) eismo signalizacijos įranga";;;;0,2;;;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
97;;Meno kūriniai, kolekcionavimo objektai ir antikvariniai daiktai;;;;;33,6;105,4;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
13;;"Šelakas; lipai, dervos ir kiti augalų syvai bei ekstraktai";;6,7;;;31,6;;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
YY;;Kitos;;;;;;49;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
26;;Rūdos, šlakai ir pelenai;;92,7;;0;;;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
45;;Kamštiena ir kamštienos dirbiniai;;0,1;;;;;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
50;;Šilkas;;;;;;;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%
